,precision,recall,f1-score,support
0,0.7479327820752201,0.9468174911362485,0.835705238059757,5923.0
1,0.7380361173814899,0.969890240284782,0.8382258684784002,6742.0
2,0.870101880877743,0.7453843571668345,0.8029289459410595,5958.0
3,0.6162262833197533,0.8634806719947806,0.7191957614454558,6131.0
4,0.8983084185680567,0.781752824375214,0.8359875526267618,5842.0
5,0.9954022988505747,0.07987456188895038,0.1478825136612022,5421.0
6,0.795339412360689,0.9285231497127407,0.8567864660481797,5918.0
7,0.7691994572591587,0.9048683160415004,0.8315364869820315,6265.0
8,0.7917561185057965,0.6303196034865834,0.7018745836901703,5851.0
9,0.7716262975778547,0.7122205412674399,0.7407342657342657,5949.0
accuracy,0.7661833333333333,0.7661833333333333,0.7661833333333333,0.7661833333333333
macro avg,0.7993929066776337,0.7563131757355075,0.7310857682667284,60000.0
weighted avg,0.7960135416668557,0.7661833333333333,0.7378880987615174,60000.0
