,precision,recall,f1-score,support
0,0.7650265776202808,0.9476616579436097,0.846606334841629,5923.0
1,0.7575124724445992,0.9684070008899437,0.8500748649176486,6742.0
2,0.8624288425047438,0.7628398791540786,0.8095831848949055,5958.0
3,0.6349187236604455,0.8600554558799544,0.7305347741756719,6131.0
4,0.8708801159000362,0.8231769941800753,0.8463569165786695,5842.0
5,0.9898477157360406,0.14388489208633093,0.25124818811402805,5421.0
6,0.8091310751104566,0.9283541737073335,0.8646521875983633,5918.0
7,0.7874443207126949,0.9029529130087789,0.8412521377054056,6265.0
8,0.795331388078366,0.6521962057767903,0.7166870128650578,5851.0
9,0.7963616112864303,0.7211296016137166,0.7568807339449541,5949.0
accuracy,0.7801,0.7801,0.7801,0.7801
macro avg,0.8068882843054093,0.7710658774240612,0.7513876335636334,60000.0
weighted avg,0.803931681665386,0.7801,0.7572994733079808,60000.0
