,precision,recall,f1-score,support
0,0.7289615456065391,0.6625021104170185,0.6941447019281797,5923.0
1,0.5330752688172044,0.9191634529813112,0.6747971906136004,6742.0
2,0.841796875,0.07233971131252098,0.13323029366306027,5958.0
3,0.32369154169877307,0.8907192953841135,0.4748282758021042,6131.0
4,0.0,0.0,0.0,5842.0
5,0.16942148760330578,0.007563180225050729,0.014479957619636235,5421.0
6,0.5730849882817318,0.7850625211220007,0.6625311942959001,5918.0
7,0.8817303267372296,0.30582601755786115,0.4541360511969661,6265.0
8,0.4502661810030821,0.27465390531533074,0.3411889596602972,5851.0
9,0.35162619444200927,0.6742309631870903,0.4622032726434662,5949.0
accuracy,0.4705666666666667,0.4705666666666667,0.4705666666666667,0.4705666666666667
macro avg,0.48536544091898753,0.45920611575022985,0.391153989742321,60000.0
weighted avg,0.49119890530234006,0.4705666666666667,0.39927202780002125,60000.0
