,precision,recall,f1-score,support
0,0.7308394160583942,0.9466486577747762,0.8248620816476646,5923.0
1,0.7232607012498617,0.969890240284782,0.8286130646898562,6742.0
2,0.8739870340356564,0.7240684793554885,0.7919955939049018,5958.0
3,0.6061163485858818,0.8598923503506769,0.7110391799851642,6131.0
4,0.9210117594852452,0.7105443341321466,0.8022031114117306,5842.0
5,1.0,0.04537908135030437,0.08681842244573848,5421.0
6,0.7842744817726948,0.9270023656640757,0.8496863625803454,5918.0
7,0.7598282570776869,0.9039106145251397,0.825630558390436,6265.0
8,0.7792151789564468,0.6176721927875577,0.6891028696729907,5851.0
9,0.7327141382868937,0.7160867372667675,0.7243050242285132,5949.0
accuracy,0.7525333333333334,0.7525333333333334,0.7525333333333334,0.7525333333333334
macro avg,0.791124731550876,0.7421095053491715,0.7134256268957341,60000.0
weighted avg,0.7874935854080523,0.7525333333333334,0.7208203736552818,60000.0
