,precision,recall,f1-score,support
0,0.8200290275761973,0.9539084923180821,0.8819168032467026,5923.0
1,0.8289977046671767,0.9642539305843963,0.8915249588590235,6742.0
2,0.8594788858939802,0.8027861698556562,0.8301657554456304,5958.0
3,0.711291413116971,0.8579350839993476,0.7777613485139732,6131.0
4,0.8407871198568873,0.8849709003765833,0.8623134017179551,5842.0
5,0.9720540288775035,0.3849843202361188,0.5515327695560254,5421.0
6,0.8346067415730337,0.9413653261236904,0.8847772572063846,5918.0
7,0.8228787658273905,0.9024740622505986,0.8608404384896468,6265.0
8,0.8277426992896606,0.7169714578704495,0.7683853832768568,5851.0
9,0.8406817339755465,0.7628172802151623,0.7998589935665814,5949.0
accuracy,0.8234833333333333,0.8234833333333333,0.8234833333333333,0.8234833333333333
macro avg,0.8358548120654348,0.8172467023830083,0.810907710987878,60000.0
weighted avg,0.8341349481571239,0.8234833333333333,0.8143298686517836,60000.0
