,precision,recall,f1-score,support
0,0.8270159519976584,0.9540773256795543,0.8860144245845093,5923.0
1,0.8335042296846963,0.964550578463364,0.8942519251925193,6742.0
2,0.8606234324614833,0.806310842564619,0.8325823223570191,5958.0
3,0.7185669527312355,0.8603816669385093,0.783105700712589,6131.0
4,0.8454098360655737,0.8827456350564875,0.8636744263942387,5842.0
5,0.9680525164113786,0.40804279653200515,0.574098105372437,5421.0
6,0.8360090022505626,0.9415343021290977,0.8856393546848924,5918.0
7,0.8256238143878594,0.9031125299281724,0.8626314987040709,6265.0
8,0.8279992146082858,0.7207314988890788,0.7706505847953217,5851.0
9,0.8378626514873302,0.7670196671709532,0.8008775778850373,5949.0
accuracy,0.8268666666666666,0.8268666666666666,0.8268666666666666,0.8268666666666666
macro avg,0.8380667602086064,0.8208506843351842,0.8153525920682634,60000.0
weighted avg,0.8364471523768037,0.8268666666666666,0.8185920932539142,60000.0
