,precision,recall,f1-score,support
0,0.7500999600159935,0.9501941583656931,0.8383733055265902,5923.0
1,0.7607811228641171,0.970780183921685,0.8530465949820787,6742.0
2,0.8798266351457841,0.7495803961060759,0.8094979155338046,5958.0
3,0.6216596343178622,0.865111727287555,0.7234535906703948,6131.0
4,0.8618295434820343,0.8498801780212256,0.8558131517710936,5842.0
5,0.9933110367892977,0.10957387935805202,0.1973749792324306,5421.0
6,0.8027536231884058,0.935958093950659,0.8642533936651583,5918.0
7,0.7841050449205252,0.9055067837190742,0.8404444444444445,6265.0
8,0.8252805129379437,0.6159630832336352,0.705421804658446,5851.0
9,0.7976036866359447,0.7273491343082871,0.7608580974151574,5949.0
accuracy,0.7774166666666666,0.7774166666666666,0.7774166666666666,0.7774166666666666
macro avg,0.8077250800297909,0.7679897618271943,0.74485372778996,60000.0
weighted avg,0.8046958781439341,0.7774166666666666,0.7513140300158948,60000.0
