,precision,recall,f1-score,support
0,0.7002896360659866,0.9388823231470539,0.8022215810732832,5923.0
1,0.6823310216333713,0.9777514090774251,0.8037554105956227,6742.0
2,0.9164824367477278,0.62621685129238,0.7440422773955528,5958.0
3,0.5555669996910083,0.8797912249225249,0.681060606060606,6131.0
4,0.8986721144024514,0.7529955494693598,0.8194095184874731,5842.0
5,1.0,0.013281682346430549,0.026215182960131075,5421.0
6,0.753003823047515,0.9319026698208854,0.8329557468660322,5918.0
7,0.7404110485665663,0.9027932960893855,0.8135788262370541,6265.0
8,0.8621973929236499,0.4747906340796445,0.6123663617326132,5851.0
9,0.743139407244786,0.6828038325769037,0.7116951379763469,5949.0
accuracy,0.7293333333333333,0.7293333333333333,0.7293333333333333,0.7293333333333333
macro avg,0.7852093880323062,0.7181209472821992,0.6847300649384715,60000.0
weighted avg,0.7807720418603153,0.7293333333333333,0.6925250032648473,60000.0
