,precision,recall,f1-score,support
0,0.8028189066059226,0.9520513253418875,0.8710898277593264,5923.0
1,0.8105956970526054,0.9667754375556215,0.8818237164310356,6742.0
2,0.8617486338797814,0.7940584088620343,0.8265199161425577,5958.0
3,0.6785668421728522,0.8618496167020062,0.7593044977726685,6131.0
4,0.8437140509449466,0.8788086271824718,0.8609038316424917,5842.0
5,0.9785144260282382,0.29404168972514294,0.4521985815602837,5421.0
6,0.8263517528223411,0.9400135180804325,0.8795256916996048,5918.0
7,0.812096889780708,0.90438946528332,0.8557619694910134,6265.0
8,0.828266228430567,0.6891129721415142,0.7523089840470193,5851.0
9,0.8311906092789267,0.7498739283913263,0.788441145281018,5949.0
accuracy,0.8103666666666667,0.8103666666666667,0.8103666666666667,0.8103666666666667
macro avg,0.8273864036996889,0.8030974989265758,0.7927878161827019,60000.0
weighted avg,0.8252883959553139,0.8103666666666667,0.7970628133097867,60000.0
