,precision,recall,f1-score,support
0,0.850216968427353,0.9593111598851933,0.9014754878629225,5923.0
1,0.8725121032813341,0.9623257193711064,0.9152207645648187,6742.0
2,0.856719539829179,0.8249412554548506,0.8405301410859342,5958.0
3,0.7749594455095119,0.8571195563529603,0.8139714993804212,6131.0
4,0.8480869001297017,0.8954125299554947,0.8711074104912573,5842.0
5,0.9387947269303202,0.551743220807969,0.6950156849076333,5421.0
6,0.8578002761159687,0.9449138222372423,0.8992522312454773,5918.0
7,0.8507687669580947,0.900877893056664,0.875106597410652,6265.0
8,0.8345323741007195,0.7533754913689967,0.791879996407078,5851.0
9,0.8557588805166846,0.8018154311649016,0.827909398594116,5949.0
accuracy,0.8496,0.8496,0.8496,0.8496
macro avg,0.8540149981798868,0.8451836079655382,0.843146921195031,60000.0
weighted avg,0.8532989971398309,0.8496,0.8454620913512724,60000.0
