,precision,recall,f1-score,support
0,0.8149107656879677,0.9559344926557488,0.8798073187786497,5923.0
1,0.843340682142394,0.964550578463364,0.8998823773611015,6742.0
2,0.865223717715533,0.7984222893588453,0.830481843575419,5958.0
3,0.7171342134213421,0.8505953351818627,0.7781839886592554,6131.0
4,0.8302810230502052,0.9002054091064704,0.8638304862023654,5842.0
5,0.9765135699373695,0.34513927319682713,0.5100177184135205,5421.0
6,0.8369891826923077,0.9413653261236904,0.886114203912836,5918.0
7,0.8241710296684118,0.9045490822027135,0.8624914390076859,6265.0
8,0.7990359658880237,0.7366262177405571,0.7665629168519342,5851.0
9,0.8498609823911029,0.7707177676920491,0.8083568406205924,5949.0
accuracy,0.8233333333333334,0.8233333333333334,0.8233333333333334,0.8233333333333334
macro avg,0.8357461132594658,0.8168105771722128,0.808572913338336,60000.0
weighted avg,0.8342694970133365,0.8233333333333334,0.8125012257198755,60000.0
