,precision,recall,f1-score,support
0,0.7817371937639198,0.8889076481512747,0.8318849739295306,5923.0
1,0.7569884895466291,0.9559477899733017,0.8449134766649188,6742.0
2,0.8647764449291166,0.6654917757636791,0.7521578298397041,5958.0
3,0.5691813804173355,0.8675583102267167,0.68738692168519,6131.0
4,0.8424396442185514,0.6809311879493324,0.7531238167360849,5842.0
5,0.9258982035928144,0.2281866814240915,0.3661388190025159,5421.0
6,0.7536652835408022,0.9207502534640081,0.8288713112260421,5918.0
7,0.8251043115438108,0.7575418994413408,0.7898810019139552,6265.0
8,0.7892816419612315,0.5915228166125449,0.6762407190308715,5851.0
9,0.6108707409410492,0.7594553706505295,0.6771075309104534,5949.0
accuracy,0.7397166666666667,0.7397166666666667,0.7397166666666667,0.7397166666666667
macro avg,0.771994333445526,0.731629373365682,0.7207706400939267,60000.0
weighted avg,0.7699714674234126,0.7397166666666667,0.7257106141290626,60000.0
