,precision,recall,f1-score,support
0,0.8627659574468085,0.9584669930778322,0.9081020555066784,5923.0
1,0.8714784008585994,0.9635123108869772,0.9151873767258383,6742.0
2,0.8622081797437248,0.8244377307821417,0.8429000429000428,5958.0
3,0.7898638426626323,0.8515739683575273,0.8195589043246212,6131.0
4,0.8475758067131507,0.8947278329339268,0.8705137813306687,5842.0
5,0.9163636363636364,0.60431654676259,0.7283236994219654,5421.0
6,0.8610080395794681,0.941027374112876,0.8992410786371711,5918.0
7,0.8576670233909188,0.8954509177972865,0.8761518038419491,6265.0
8,0.8320393864798333,0.7509827379935053,0.7894358605821057,5851.0
9,0.8530300337657721,0.8068582955118507,0.82930200414651,5949.0
accuracy,0.8530333333333333,0.8530333333333333,0.8530333333333333,0.8530333333333333
macro avg,0.8554000307004545,0.8491354708216514,0.8478716607417549,60000.0
weighted avg,0.8549362405885137,0.8530333333333333,0.8498781124857114,60000.0
