,precision,recall,f1-score,support
0,0.8624620060790273,0.9581293263548877,0.9077821322882509,5923.0
1,0.8702064896755162,0.9626223672500741,0.9140845070422535,6742.0
2,0.8635323120267653,0.8230949983215844,0.842828907794105,5958.0
3,0.7888002408550354,0.8546729734137988,0.8204164709566307,6131.0
4,0.8441894294488443,0.8940431359123587,0.8684013633718513,5842.0
5,0.9184597961494904,0.5984135768308431,0.7246732938679773,5421.0
6,0.8618716163959783,0.9415343021290977,0.899943470887507,5918.0
7,0.8616284438971833,0.893535514764565,0.8772919605077575,6265.0
8,0.827865761689291,0.7504700051273286,0.7872702823845809,5851.0
9,0.8509283819628647,0.8088754412506304,0.829369183040331,5949.0
accuracy,0.8524833333333334,0.8524833333333334,0.8524833333333334,0.8524833333333334
macro avg,0.8549944478179997,0.848539164135517,0.8472061572141245,60000.0
weighted avg,0.8545292258615168,0.8524833333333334,0.849251488473395,60000.0
