,precision,recall,f1-score,support
0,0.8516458740417857,0.9566098261016377,0.9010814249363869,5923.0
1,0.8568976897689768,0.962770691189558,0.9067542082838582,6742.0
2,0.860017652250662,0.8177240684793555,0.838337778542545,5958.0
3,0.765048826701647,0.8561409231772957,0.8080357142857143,6131.0
4,0.8406078241189784,0.890106128038343,0.8646491519787163,5842.0
5,0.934156378600823,0.5443645083932853,0.6878787878787878,5421.0
6,0.8486832090120262,0.9420412301453194,0.8929286457916233,5918.0
7,0.850280345506895,0.89561053471668,0.8723569651741293,6265.0
8,0.8336542164035425,0.7400444368484019,0.7840651878678135,5851.0
9,0.8470843112475176,0.7887039838628341,0.8168523676880224,5949.0
accuracy,0.84395,0.84395,0.84395,0.84395
macro avg,0.8488076327652854,0.8394116330952711,0.8372940232427597,60000.0
weighted avg,0.8479570647534966,0.84395,0.8396047519690355,60000.0
