,precision,recall,f1-score,support
0,0.8624563534234098,0.9591423265237211,0.9082334132693844,5923.0
1,0.8700026831231553,0.961880747552655,0.9136376444068751,6742.0
2,0.8609794628751974,0.823262839879154,0.8416988416988416,5958.0
3,0.7923182025201154,0.8512477572989724,0.8207265293285106,6131.0
4,0.8476174987802895,0.8921602191030469,0.8693186556584104,5842.0
5,0.9176340519624102,0.6124331304187419,0.7345945347936718,5421.0
6,0.8622986369268897,0.9406894221020615,0.8997898820106677,5918.0
7,0.8613678373382625,0.8925778132482043,0.8766951477620131,6265.0
8,0.8310925960992236,0.7501281832165442,0.7885375494071146,5851.0
9,0.8501496742384222,0.8115649689023365,0.8304093567251463,5949.0
accuracy,0.8533,0.8533,0.8533,0.8533
macro avg,0.8555916997287374,0.8495087408245438,0.8483641555060635,60000.0
weighted avg,0.8551232876674263,0.8533,0.8503002367036749,60000.0
