,precision,recall,f1-score,support
0,0.7978512864009047,0.9528954921492487,0.8685081172578287,5923.0
1,0.8152555110220441,0.965440522100267,0.884014667934266,6742.0
2,0.8632712668857248,0.793722725746895,0.8270374256733124,5958.0
3,0.6815772462831287,0.8598923503506769,0.7604211740949084,6131.0
4,0.8376750244220124,0.8806915439917836,0.858644859813084,5842.0
5,0.9806701030927835,0.28076000737871243,0.43654094363975343,5421.0
6,0.8271494561168231,0.9379858060155458,0.8790878137619763,5918.0
7,0.8124641010913268,0.9031125299281724,0.8553934537757955,6265.0
8,0.8094020456333596,0.7032985814390702,0.7526291723822589,5851.0
9,0.8373768006065201,0.7426458228273659,0.7871714922048999,5949.0
accuracy,0.8093833333333333,0.8093833333333333,0.8093833333333333,0.8093833333333333
macro avg,0.8262692841554629,0.8020445381927738,0.7909449120538083,60000.0
weighted avg,0.8242780046952511,0.8093833333333333,0.7954086926875308,60000.0
