,precision,recall,f1-score,support
0,0.8327197761743484,0.9547526591254432,0.8895705521472393,5923.0
1,0.842214443147932,0.9635123108869772,0.8987893462469735,6742.0
2,0.8595866001425517,0.8096676737160121,0.8338807260155575,5958.0
3,0.7342002237136466,0.8564671342358506,0.7906346457878493,6131.0
4,0.845013037809648,0.8875385142074632,0.8657538821172149,5842.0
5,0.9557453416149069,0.4541597491237779,0.6157308990871576,5421.0
6,0.8419540229885057,0.9406894221020615,0.888587390263368,5918.0
7,0.83518271933718,0.9010375099760575,0.8668611793611793,6265.0
8,0.8272797527047914,0.7318407109895745,0.77663915842931,5851.0
9,0.8445094098300749,0.7769373003866196,0.8093153563298896,5949.0
accuracy,0.83315,0.83315,0.83315,0.83315
macro avg,0.8418405327463585,0.8276602984749838,0.8235763135785739,60000.0
weighted avg,0.8405062194308058,0.83315,0.8264682691670708,60000.0
