,precision,recall,f1-score,support
0,0.7471218737594283,0.9532331588721932,0.8376854599406528,5923.0
1,0.7672808355826781,0.9697419163452982,0.8567123108170084,6742.0
2,0.8771070168561349,0.7510909701242028,0.8092224231464739,5958.0
3,0.6235928705440901,0.8673952046974392,0.725561088750938,6131.0
4,0.8382255936675461,0.8700787401574803,0.8538551990592979,5842.0
5,0.9917355371900827,0.08854454897620365,0.1625740897544454,5421.0
6,0.8138745387453874,0.9317336938154782,0.8688253367998109,5918.0
7,0.7836678200692041,0.9037509976057462,0.8394366197183099,6265.0
8,0.7969893372360444,0.6515125619552213,0.7169456460410005,5851.0
9,0.8322918766377746,0.6940662296184232,0.7569202566452795,5949.0
accuracy,0.7776166666666666,0.7776166666666666,0.7776166666666666,0.7776166666666666
macro avg,0.8071887300288371,0.7681148022167685,0.7427738430673216,60000.0
weighted avg,0.8043508568689735,0.7776166666666666,0.7495901695323979,60000.0
