,precision,recall,f1-score,support
0,0.8560837331007414,0.33141988856998145,0.4778481012658228,5923.0
1,0.56326839417439,0.8834173835657075,0.6879186879186878,6742.0
2,0.8652612282309807,0.15844243034575362,0.26783940984536814,5958.0
3,0.2992785151732114,0.8863154460936226,0.44746376811594196,6131.0
4,0.0,0.0,0.0,5842.0
5,0.08680555555555555,0.004611695259177273,0.008758101243650377,5421.0
6,0.4469914040114613,0.7644474484623184,0.5641249454454766,5918.0
7,0.7782013904462884,0.5538707102952913,0.6471465870943679,6265.0
8,0.37446998437848694,0.2867885831481798,0.3248161053039102,5851.0
9,0.3824928639391056,0.5405950579929399,0.4480044577557985,5949.0
accuracy,0.4535,0.4535,0.4535,0.4535
macro avg,0.4652853069010221,0.44099086437329726,0.3873920163989025,60000.0
weighted avg,0.4719336020321888,0.4535,0.3968908279563267,60000.0
