,precision,recall,f1-score,support
0,0.6591693442818041,0.9351679891946648,0.7732793522267206,5923.0
1,0.4791907514450867,0.9836843666567784,0.6444466038285881,6742.0
2,0.9407728421812929,0.4372272574689493,0.5969978228486307,5958.0
3,0.559814426157075,0.8266188223780786,0.6675447839831401,6131.0
4,0.9650259067357513,0.2550496405340637,0.40346601678851884,5842.0
5,0.0,0.0,0.0,5421.0
6,0.7845579078455791,0.8516390672524502,0.8167233835683033,5918.0
7,0.6264568764568764,0.8579409417398244,0.7241495453014483,6265.0
8,0.7120517659746562,0.4513758331909075,0.552510460251046,5851.0
9,0.5408594575554773,0.5162212136493528,0.5282532037498925,5949.0
accuracy,0.62435,0.62435,0.62435,0.62435
macro avg,0.6267899278633599,0.611492513206507,0.5707371172546288,60000.0
weighted avg,0.6293591014234508,0.62435,0.5779525678795047,60000.0
