,precision,recall,f1-score,support
0,0.6731850403324371,0.9299341549890259,0.7809996455157745,5923.0
1,0.48154874328054625,0.9832393948383269,0.6464794226643261,6742.0
2,0.9359942466738583,0.43689157435381,0.5957203341343403,5958.0
3,0.5520855846120597,0.8333061490784538,0.6641533961650958,6131.0
4,0.9688779688779688,0.20249914412872305,0.33498513379583744,5842.0
5,0.0,0.0,0.0,5421.0
6,0.7757009345794392,0.8555255153768165,0.8136601044596223,5918.0
7,0.6268065268065268,0.8584197924980048,0.7245537217918491,6265.0
8,0.7149122807017544,0.4457357716629636,0.5491104326771239,5851.0
9,0.5247475583512663,0.5328626659942848,0.5287739783152627,5949.0
accuracy,0.62085,0.62085,0.62085,0.62085
macro avg,0.6253858884215857,0.607841416292041,0.5638436169519233,60000.0
weighted avg,0.6279628026085434,0.62085,0.5712620941016339,60000.0
