,precision,recall,f1-score,support
0,0.7726732084448409,0.8774269795711632,0.8217250375523757,5923.0
1,0.4758625636611434,0.983981014535746,0.6414930135860368,6742.0
2,0.9413904607922393,0.39090298757972475,0.5524193548387096,5958.0
3,0.5083582954874867,0.858098189528625,0.6384708737864078,6131.0
4,0.9718875502008032,0.04142416980486135,0.07946150057461829,5842.0
5,0.0,0.0,0.0,5421.0
6,0.7492363636363636,0.8703954038526529,0.8052841397639334,5918.0
7,0.6619928030773049,0.8515562649640862,0.7449036581960347,6265.0
8,0.7047917855105533,0.42232097077422664,0.5281607352784012,5851.0
9,0.4770489707198568,0.6271642292822323,0.5419026870007262,5949.0
accuracy,0.60585,0.60585,0.60585,0.60585
macro avg,0.6263242001530591,0.5923270209893319,0.5353821000577244,60000.0
weighted avg,0.6288531956040541,0.60585,0.5434759554915427,60000.0
