,precision,recall,f1-score,support
0,0.9044547470268091,0.7575552929258822,0.8245130466740169,5923.0
1,0.4731804871080637,0.9826460990803916,0.6387697054428,6742.0
2,0.9280643634642688,0.32913729439409195,0.48593730640564986,5958.0
3,0.45959982971477226,0.8804436470396346,0.6039382412172746,6131.0
4,0.9850746268656716,0.011297500855871277,0.02233880521238788,5842.0
5,0.0,0.0,0.0,5421.0
6,0.715757659019096,0.8803649881716796,0.7895733878911874,5918.0
7,0.7420755536257057,0.8183559457302474,0.7783512980112343,6265.0
8,0.6475237091675448,0.4200991283541275,0.5095884731004457,5851.0
9,0.46806879176251504,0.7182719784837788,0.566786045894681,5949.0
accuracy,0.5934166666666667,0.5934166666666667,0.5934166666666667,0.5934166666666667
macro avg,0.6323799767754447,0.5798171875035706,0.5219796309849677,60000.0
weighted avg,0.6351241324741259,0.5934166666666667,0.5303519632130483,60000.0
