,precision,recall,f1-score,support
0,0.8746936274509803,0.9640384940064156,0.9171954059914865,5923.0
1,0.90228285077951,0.9614357757342035,0.9309205802096797,6742.0
2,0.8649119748997735,0.8328298086606244,0.8485677640017102,5958.0
3,0.8345104333868378,0.8479856467134236,0.8411940781490169,6131.0
4,0.8579527048914805,0.9067100308113659,0.8816577896138482,5842.0
5,0.8782448885825868,0.7052204390333887,0.7822795170861468,5421.0
6,0.8850684495383636,0.9395065900642109,0.9114754098360656,5918.0
7,0.8716352886261086,0.8941739824421389,0.8827607942010716,6265.0
8,0.8420168067226891,0.770637497863613,0.8047474567196146,5851.0
9,0.8617801047120419,0.8300554715078164,0.8456203442075522,5949.0
accuracy,0.8680333333333333,0.8680333333333333,0.8680333333333333,0.8680333333333333
macro avg,0.8673097129590372,0.8652593736837201,0.8646419140016193,60000.0
weighted avg,0.8676442656425732,0.8680333333333333,0.8662850881599983,60000.0
