,precision,recall,f1-score,support
0,0.8739856071045782,0.9637008272834712,0.9166532840854343,5923.0
1,0.9072986577181208,0.9624740433105903,0.9340722614078019,6742.0
2,0.8687325905292479,0.8375293722725747,0.8528456674072807,5958.0
3,0.841287817505258,0.848148752242701,0.8447043534762833,6131.0
4,0.8591366439467706,0.90619650804519,0.8820393202265912,5842.0
5,0.8800271125169453,0.7185021213798192,0.7911038895094953,5421.0
6,0.8889243536546441,0.9411963501182832,0.9143138542350623,5918.0
7,0.8750782717595491,0.8922585794094174,0.8835849205721963,6265.0
8,0.8448820360393833,0.7773030251239105,0.8096848851700196,5851.0
9,0.8611062944338478,0.8347621448983022,0.8477296005462615,5949.0
accuracy,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333
macro avg,0.8700459385208346,0.8682071724084259,0.8676732036636426,60000.0
weighted avg,0.8704386295260088,0.8708333333333333,0.8692602655491204,60000.0
