,precision,recall,f1-score,support
0,0.8772496538994001,0.9628566604761101,0.9180618158403091,5923.0
1,0.9086450889729578,0.961880747552655,0.9345053678218892,6742.0
2,0.8703768318213538,0.8373615307150051,0.8535500427715997,5958.0
3,0.8432010409889394,0.8455390637742619,0.8443684339115562,6131.0
4,0.8604840019490011,0.906881205066758,0.8830735894657887,5842.0
5,0.8686600221483942,0.7234827522597307,0.7894524959742351,5421.0
6,0.8874362244897959,0.9405204460966543,0.9132075471698112,5918.0
7,0.8771737427541908,0.8936951316839585,0.8853573687539532,6265.0
8,0.8430211032950758,0.7783284908562639,0.8093841642228738,5851.0
9,0.8644185642273596,0.8359388132459237,0.8499401811656128,5949.0
accuracy,0.8712166666666666,0.8712166666666666,0.8712166666666666,0.8712166666666666
macro avg,0.8700666274546469,0.8686484841727321,0.868090100709763,60000.0
weighted avg,0.8705940457417137,0.8712166666666666,0.8697009050095742,60000.0
