,precision,recall,f1-score,support
0,0.8744635193133047,0.9631943271990545,0.9166867518277496,5923.0
1,0.906603378472707,0.9632156630080095,0.9340524991010429,6742.0
2,0.8704835049746902,0.8370258475998658,0.8534268845726021,5958.0
3,0.8413804277381723,0.847007013537759,0.8441843452816385,6131.0
4,0.8606650446066505,0.9082505991098939,0.88381777296577,5842.0
5,0.8735478105451295,0.7212691385353256,0.7901384257855916,5421.0
6,0.8883564925730714,0.9398445420750253,0.9133754823877164,5918.0
7,0.8779645044762054,0.8922585794094174,0.8850538315389487,6265.0
8,0.846583504002979,0.7771321141685182,0.8103724826234183,5851.0
9,0.8643451143451143,0.8386283408976298,0.8512925518300487,5949.0
accuracy,0.8713833333333333,0.8713833333333333,0.8713833333333333,0.8713833333333333
macro avg,0.8704393301048026,0.86878261655405,0.8682401027914526,60000.0
weighted avg,0.8708868318327703,0.8713833333333333,0.8698330026849769,60000.0
