,precision,recall,f1-score,support
0,0.8695188794153471,0.964207327367888,0.9144183812344888,5923.0
1,0.9014709963918957,0.9635123108869772,0.9314597074849441,6742.0
2,0.8702503939765365,0.8341725411211816,0.8518296340731852,5958.0
3,0.8288864035788465,0.8461914858913717,0.8374495560936238,6131.0
4,0.8535956143179619,0.90619650804519,0.8791099302557289,5842.0
5,0.8865416567766438,0.6889872717210846,0.7753788665144281,5421.0
6,0.8809674359785015,0.9417032781345049,0.9103234237177392,5918.0
7,0.8683924972872423,0.8941739824421389,0.88109468386285,6265.0
8,0.8406767057073805,0.7728593402837122,0.8053428317008015,5851.0
9,0.8654353562005277,0.827029752899647,0.8457968024755028,5949.0
accuracy,0.86685,0.86685,0.86685,0.86685
macro avg,0.8665735939630885,0.8639033798793696,0.8632203817413291,60000.0
weighted avg,0.8668116448182209,0.86685,0.8649292159705433,60000.0
